2018-02-04 22:03:01 [http-nio-8080-exec-4] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:01.080 - called url:/Spring-In-Action_WEBApp/spitter
2018-02-04 22:03:19 [http-nio-8080-exec-5] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:19.016 - called url:/Spring-In-Action_WEBApp/logout
2018-02-04 22:03:27 [http-nio-8080-exec-7] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:27.819 - called url:/Spring-In-Action_WEBApp/
2018-02-04 22:03:31 [http-nio-8080-exec-10] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:31.860 - called url:/Spring-In-Action_WEBApp/spitter
2018-02-04 22:03:32 [http-nio-8080-exec-2] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:32.985 - called url:/Spring-In-Action_WEBApp/logout
2018-02-04 22:03:33 [https-jsse-nio-8443-exec-9] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:33.055 - called url:/Spring-In-Action_WEBApp/login
2018-02-04 22:03:33 [https-jsse-nio-8443-exec-9] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(167) - AuthenticationTrustResolver is not null value: true
2018-02-04 22:03:33 [https-jsse-nio-8443-exec-9] INFO  com.mvc.spittr.web.LoginController.loginPage(116) - login ok
2018-02-04 22:03:36 [https-jsse-nio-8443-exec-7] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:36.583 - called url:/Spring-In-Action_WEBApp/logout
2018-02-04 22:03:36 [https-jsse-nio-8443-exec-4] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:03:36.601 - called url:/Spring-In-Action_WEBApp/login
2018-02-04 22:03:36 [https-jsse-nio-8443-exec-4] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(167) - AuthenticationTrustResolver is not null value: true
2018-02-04 22:03:36 [https-jsse-nio-8443-exec-4] INFO  com.mvc.spittr.web.LoginController.loginPage(116) - login ok
2018-02-04 22:04:13 [http-nio-8080-exec-8] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:04:13.211 - called url:/Spring-In-Action_WEBApp/spittle
2018-02-04 22:04:13 [http-nio-8080-exec-8] INFO  com.mvc.spittr.web.SpittleController.spittles(81) - 2018-02-04T22:04:13.234 /spittle called
2018-02-04 22:04:15 [http-nio-8080-exec-9] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:04:15.695 - called url:/Spring-In-Action_WEBApp/logout
2018-02-04 22:06:51 [https-jsse-nio-8443-exec-4] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-02-04T22:06:51.831 - called url:/Spring-In-Action_WEBApp/login
2018-02-04 22:06:51 [https-jsse-nio-8443-exec-4] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(167) - AuthenticationTrustResolver is not null value: true
2018-02-04 22:06:51 [https-jsse-nio-8443-exec-4] INFO  com.mvc.spittr.web.LoginController.loginPage(116) - login ok
2018-02-04 22:08:06 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.<clinit>(55) - ************************Start WebAppInitializer************************
2018-02-04 22:08:06 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.<clinit>(161) - ************************End WebAppInitializer************************
2018-02-04 22:08:06 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.ApacheServletInitializer.<clinit>(29) - ************************Start AppWebConfig************************
2018-02-04 22:08:06 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.ApacheServletInitializer.<clinit>(83) - ************************End AppWebConfig************************
2018-02-04 22:08:06 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.w.c.SecurityWebApplicationInitializer.<clinit>(16) - 1 ************************SecurityWebApplicationInitializer Intizialized************************
2018-02-04 22:08:06 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.getRootConfigClasses(66) - AppRootConfig configured
2018-02-04 22:08:06 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.getServletConfigClasses(81) - AppWebConfig configured
2018-02-04 22:08:07 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(118) - CustomizeRegistration initialized
2018-02-04 22:08:07 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(128) - ***START*** Multipart initializing 
2018-02-04 22:08:07 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(129) - Download Directory:/tmp
2018-02-04 22:08:07 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(137) - Multipart uploads files at /home/sabaja/Scrivania/spring-hibernate-workspace/Spring-In-Action_WebApp/Downloads, maxFileSize=2097152, maxRequestSize=4194304, fileSizeThreshold=0
2018-02-04 22:08:07 [ContainerBackgroundProcessor[StandardEngine[Catalina]]] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(140) - ***END*** Multipart initialized 
