2018-02-19 22:42:51 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.<clinit>(55) - ************************Start WebAppInitializer************************
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.<clinit>(161) - ************************End WebAppInitializer************************
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.w.c.SecurityWebApplicationInitializer.<clinit>(16) - 1 ************************SecurityWebApplicationInitializer Intizialized************************
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.w.c.ApacheServletInitializer.<clinit>(29) - ************************Start AppWebConfig************************
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.w.c.ApacheServletInitializer.<clinit>(83) - ************************End AppWebConfig************************
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.getRootConfigClasses(66) - AppRootConfig configured
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.getServletConfigClasses(81) - AppWebConfig configured
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(118) - CustomizeRegistration initialized
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(128) - ***START*** Multipart initializing 
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(129) - Download Directory:/tmp
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(137) - Multipart uploads files at /home/sabaja/Scrivania/spring-hibernate-workspace/Spring-In-Action_WebApp/Downloads, maxFileSize=2097152, maxRequestSize=4194304, fileSizeThreshold=0
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.web.config.WebAppInitializer.customizeRegistration(140) - ***END*** Multipart initialized 
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.w.c.ApacheServletInitializer.onStartup(37) - WebApplicationInitializer@ServletApacheInitializer instantiated
2018-02-19 22:42:52 [localhost-startStop-1] INFO  c.m.s.w.c.ApacheServletInitializer.onStartup(52) - Servlet [com.mvc.spittr.web.servlet.GenericServletDemoServlet] was added
2018-02-19 22:42:54 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.<clinit>(59) - ************************AppRootConfig************************
2018-02-19 22:42:54 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.<clinit>(66) - ************************Start - WebSecurityConfig************************
2018-02-19 22:42:54 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.<clinit>(221) - ************************End - WebSecurityConfig************************
2018-02-19 22:42:54 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.<clinit>(49) - ************************Start AppWebConfig************************
2018-02-19 22:42:54 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.<clinit>(209) - ************************End AppWebConfig************************
2018-02-19 22:42:55 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.messageSource(74) - MessageSource initialized
2018-02-19 22:42:55 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getAuthenticationTrustResolver(105) - AuthenticationTrustResolver  initialized
2018-02-19 22:42:56 [localhost-startStop-1] INFO  c.m.s.w.c.RoleToUserProfileConverter.<clinit>(27) - ************************Start RoleToUserProfileConverter************************
2018-02-19 22:42:56 [localhost-startStop-1] INFO  c.m.s.w.c.RoleToUserProfileConverter.<clinit>(42) - ************************End RoleToUserProfileConverter************************
2018-02-19 22:42:56 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.dataSource(142) - ***HIBERNATE*** - DB DataSource initialized - HIBERNATE -
2018-02-19 22:42:56 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.getSessionFactory(150) - ***HIBERNATE*** - LocalSessionFactoryBean initialized - HIBERNATE -
2018-02-19 22:42:56 [localhost-startStop-1] INFO  c.m.spittr.web.config.AppRootConfig.getSessionFactory(152) - ***HIBERNATE*** - HibernateProperties initialized - HIBERNATE -
2018-02-19 22:43:03 [localhost-startStop-1] INFO  c.m.s.w.l.HttpRequestLogInterceptor.<clinit>(28) - HttpRequestLogInterceptor initialized
2018-02-19 22:43:03 [localhost-startStop-1] INFO  c.mvc.spittr.web.config.AppWebConfig.setApplicationContext(55) - InternalResourceViewResolver inizialized
2018-02-19 22:43:04 [localhost-startStop-1] INFO  c.m.s.web.config.WebSecurityConfig.getSpitterDetailService(92) - SpitterDetailService  initialized
