2018-03-04 16:20:11 [http-nio-8080-exec-27] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T16:20:11.016 - called url:/Spring-In-Action_WEBApp/
2018-03-04 16:20:23 [http-nio-8080-exec-22] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T16:20:23.078 - called url:/Spring-In-Action_WEBApp/list
2018-03-04 16:20:23 [http-nio-8080-exec-22] INFO  com.mvc.spittr.web.LoginController.listUsers(119) - spitterService is null? false
2018-03-04 16:20:24 [http-nio-8080-exec-22] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(31) - Auth valaue: anonymous
2018-03-04 16:20:44 [http-nio-8080-exec-27] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T16:20:44.823 - called url:/Spring-In-Action_WEBApp/
2018-03-04 16:20:46 [http-nio-8080-exec-20] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T16:20:46.161 - called url:/Spring-In-Action_WEBApp/login
2018-03-04 16:20:46 [http-nio-8080-exec-20] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(177) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-03-04 16:20:46 [http-nio-8080-exec-20] INFO  com.mvc.spittr.web.LoginController.isCurrentAuthenticationAnonymous(177) - isCurrentAuthenticationAnonymous() flag value: true and credential_
2018-03-04 16:20:46 [http-nio-8080-exec-20] INFO  com.mvc.spittr.web.LoginController.loginPage(105) - Is Current Authentication Anonymous? true
2018-03-04 16:20:54 [http-nio-8080-exec-18] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T16:20:54.089 - called url:/Spring-In-Action_WEBApp/spitter
2018-03-04 16:20:54 [http-nio-8080-exec-18] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(28) - Auth valaue: admin
2018-03-04 16:20:56 [http-nio-8080-exec-26] INFO  c.m.s.w.l.HttpRequestLogInterceptor.preHandle(35) - 2018-03-04T16:20:56.027 - called url:/Spring-In-Action_WEBApp/list
2018-03-04 16:20:56 [http-nio-8080-exec-26] INFO  com.mvc.spittr.web.LoginController.listUsers(119) - spitterService is null? false
2018-03-04 16:20:56 [http-nio-8080-exec-26] INFO  c.mvc.spittr.web.util.WebFacilities.getPrincipal(28) - Auth valaue: admin
